[GIN-debug] [WARNING] Creating an Engine instance with the Logger and Recovery middleware already attached.

[GIN-debug] [WARNING] Running in "debug" mode. Switch to "release" mode in production.
 - using env:	export GIN_MODE=release
 - using code:	gin.SetMode(gin.ReleaseMode)

[GIN-debug] GET    /assets/*filepath         --> github.com/gin-gonic/gin.(*RouterGroup).createStaticHandler.func1 (4 handlers)
[GIN-debug] HEAD   /assets/*filepath         --> github.com/gin-gonic/gin.(*RouterGroup).createStaticHandler.func1 (4 handlers)
[GIN-debug] Loaded HTML Templates (6): 
	- 
	- addUser.html
	- footer.html
	- header.html
	- index.html
	- login.html

[GIN-debug] GET    /                         --> Go/api.Index (4 handlers)
[GIN-debug] GET    /createData               --> Go/api.CreateData (4 handlers)
[GIN-debug] GET    /deleteData               --> Go/api.DeleteData (4 handlers)
[GIN-debug] GET    /login                    --> Go/api.Login (4 handlers)
[GIN-debug] GET    /addPage                  --> Go/api.AddPage (4 handlers)
[GIN-debug] POST   /addUser                  --> Go/api.AddUser (4 handlers)
[GIN-debug] GET    /searchUser               --> Go/api.SearchUser (4 handlers)
[GIN-debug] GET    /showUser                 --> Go/api.ShowUser (4 handlers)
[GIN-debug] GET    /showPunch                --> Go/api.ShowPunch (4 handlers)
[GIN-debug] POST   /formPost                 --> Go/api.FormPost (4 handlers)
[GIN-debug] [WARNING] You trusted all proxies, this is NOT safe. We recommend you to set a value.
Please check https://pkg.go.dev/github.com/gin-gonic/gin#readme-don-t-trust-all-proxies for details.
[GIN-debug] Listening and serving HTTP on :8080
[GIN] 2023/12/14 - 17:20:01 | 200 |      1.4143ms |       127.0.0.1 | GET      "/login"
[GIN] 2023/12/14 - 17:20:01 | 200 |      1.5731ms |       127.0.0.1 | GET      "/showUser"
[GIN] 2023/12/14 - 17:20:01 | 200 |      1.5862ms |       127.0.0.1 | GET      "/showPunch"
[GIN] 2023/12/14 - 17:20:01 | 200 |      1.2449ms |       127.0.0.1 | GET      "/searchUser?id=1"
[GIN] 2023/12/14 - 17:20:01 | 200 |       1.564ms |       127.0.0.1 | GET      "/searchUser?id=2"
[GIN] 2023/12/14 - 17:20:01 | 200 |      1.0312ms |       127.0.0.1 | GET      "/searchUser?id=1"
[GIN] 2023/12/14 - 17:20:01 | 200 |       519.1µs |       127.0.0.1 | GET      "/searchUser?id=2"
[GIN] 2023/12/14 - 17:20:02 | 200 |       533.5µs |       127.0.0.1 | GET      "/addPage"
[GIN] 2023/12/14 - 17:20:02 | 200 |       998.9µs |       127.0.0.1 | GET      "/showUser"
[GIN] 2023/12/14 - 17:20:02 | 200 |      1.1363ms |       127.0.0.1 | GET      "/showPunch"
[GIN] 2023/12/14 - 17:20:02 | 200 |      1.1887ms |       127.0.0.1 | GET      "/searchUser?id=1"
[GIN] 2023/12/14 - 17:20:02 | 200 |       528.8µs |       127.0.0.1 | GET      "/searchUser?id=2"
[GIN] 2023/12/14 - 17:20:02 | 200 |       505.9µs |       127.0.0.1 | GET      "/searchUser?id=1"
[GIN] 2023/12/14 - 17:20:02 | 200 |      1.0421ms |       127.0.0.1 | GET      "/searchUser?id=2"
[GIN] 2023/12/14 - 17:20:03 | 302 |      2.6219ms |       127.0.0.1 | POST     "/addUser"
[GIN] 2023/12/14 - 17:20:03 | 200 |       582.1µs |       127.0.0.1 | GET      "/"
[GIN] 2023/12/14 - 17:20:03 | 200 |      1.1123ms |       127.0.0.1 | GET      "/showUser"
[GIN] 2023/12/14 - 17:20:03 | 404 |            0s |       127.0.0.1 | GET      "/assets/avatars/.jpg"
[GIN] 2023/12/14 - 17:20:03 | 200 |         632µs |       127.0.0.1 | GET      "/showPunch"
[GIN] 2023/12/14 - 17:20:03 | 200 |            0s |       127.0.0.1 | GET      "/searchUser?id=1"
[GIN] 2023/12/14 - 17:20:03 | 200 |       1.474ms |       127.0.0.1 | GET      "/searchUser?id=2"
[GIN] 2023/12/14 - 17:20:03 | 200 |       521.9µs |       127.0.0.1 | GET      "/searchUser?id=1"
[GIN] 2023/12/14 - 17:20:03 | 200 |       521.9µs |       127.0.0.1 | GET      "/searchUser?id=2"
[GIN] 2023/12/14 - 17:20:08 | 200 |      1.0021ms |       127.0.0.1 | GET      "/"
[GIN] 2023/12/14 - 17:20:08 | 200 |       837.7µs |       127.0.0.1 | GET      "/showUser"
[GIN] 2023/12/14 - 17:20:08 | 404 |            0s |       127.0.0.1 | GET      "/assets/avatars/.jpg"
